unit_id,station_code,station_name,station_desc,esc_desc,unit_type
"K08X03ESCALATOR","K08","VIENNA/FAIRFAX-GMU","","Escalator between mezzanine and platform","ESCALATOR"
"K03X01ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between street and mezzanine","ESCALATOR"
"K03X02ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between street and mezzanine","ESCALATOR"
"K03X03ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between street and mezzanine","ESCALATOR"
"K03X04ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K03X05ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K03X06ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between mezzanine and platform to New Carrolton","ESCALATOR"
"K03X07ESCALATOR","K03","VIRGINIA SQUARE-GMU","","Escalator between mezzanine and platform to New Carrolton","ESCALATOR"
"F04X04ESCALATOR","F04","WATERFRONT-SEU","","Escalator between mezzanine and platform","ESCALATOR"
"K06X01ESCALATOR","K06","WEST FALLS CHURCH-VT/UVA","","Escalator between mezzanine and platform to New Carrolton","ESCALATOR"
"K06X03ESCALATOR","K06","WEST FALLS CHURCH-VT/UVA","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K06X04ESCALATOR","K06","WEST FALLS CHURCH-VT/UVA","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K06X05ESCALATOR","K06","WEST FALLS CHURCH-VT/UVA","","Escalator between north side bus terminal and mezzanine (Dulles Access Road entrance)","ESCALATOR"
"K06X06ESCALATOR","K06","WEST FALLS CHURCH-VT/UVA","","Escalator between north side bus terminal and mezzanine (Dulles Access Road entrance)","ESCALATOR"
"E07X01ESCALATOR","E07","WEST HYATTSVILLE","","Escalator between mezzanine and platform to Greenbelt","ESCALATOR"
"E07X02ESCALATOR","E07","WEST HYATTSVILLE","","Escalator between mezzanine and platform to Greenbelt","ESCALATOR"
"E07X03ESCALATOR","E07","WEST HYATTSVILLE","","Escalator between mezzanine and platform to Branch Ave","ESCALATOR"
"E07X04ESCALATOR","E07","WEST HYATTSVILLE","","Escalator between mezzanine and platform to Branch Ave","ESCALATOR"
"A12X01ESCALATOR","A12","WHITE FLINT","","Escalator between parking lot & pedestrian tunnel","ESCALATOR"
"A12X02ESCALATOR","A12","WHITE FLINT","","Escalator between station entrance and pedestrian tunnel","ESCALATOR"
"A12X03ESCALATOR","A12","WHITE FLINT","","Escalator between mezzanine and platform","ESCALATOR"
"A04X07ESCALATOR","A04","WOODLEY PARK-ZOO/ADAMS MORGAN","","Escalator between mezzanine and platform","ESCALATOR"
"A04X08ESCALATOR","A04","WOODLEY PARK-ZOO/ADAMS MORGAN","","Escalator between mezzanine and platform","ESCALATOR"
"G03X01ELEVATOR","G03","ADDISON ROAD-SEAT PLEASANT","","Elevator between mezzanine and platform","ELEVATOR"
"G03X02ELEVATOR","G03","ADDISON ROAD-SEAT PLEASANT","","Garage elevator","ELEVATOR"
"G03X03ELEVATOR","G03","ADDISON ROAD-SEAT PLEASANT","","Garage elevator","ELEVATOR"
"F06N01ELEVATOR","F06","ANACOSTIA","Kiss & Ride Entrance","Elevator between mezzanine and platform","ELEVATOR"
"F02X01ELEVATOR","F02","ARCHIVES-Navy Memorial","","Elevator between street entrance and mezzanine, on 7th Street, just north of Pennsylvania Ave","ELEVATOR"
"F02X02ELEVATOR","F02","ARCHIVES-Navy Memorial","","Elevator between mezzanine and platform","ELEVATOR"
"C06X01ELEVATOR","C06","ARLINGTON CEMETERY","","Elevator between mezzanine and platform to Franconia Springfield","ELEVATOR"
"C06X02ELEVATOR","C06","ARLINGTON CEMETERY","","Elevator between mezzanine and platform to Largo Town Center","ELEVATOR"
